Console,Cheat type,Example code
Famicom / NES,Action Replay,02A2:01
Famicom / NES,Game Genie,APEETPEY
Game Boy,Game Genie,FA1-B9C-4C1
Game Boy (Color),GameShark,0101CEC1
Game Boy Advance,GameShark v3,CD93194F 089CE0B4
Game Boy Advance,GameShark v1/v2,A62B1D67 EB2D
Game Gear,Action Replay,00D3-C280
Mega Drive / Genesis,Action Replay,FFFE21:0032
Mega Drive / Genesis,Game Genie,NN8A-AADN
N64,GameShark,8033B177 0015
NDS,Action Replay,22085A50 00000001
Sega Master System,Action Replay,00C0-2502
Super Famicom / SNES,Action Replay,7E1490:FF
Super Famicom / SNES,Game Genie,14B4-6F07